lesmis/lesmis_0001.wav|Chapitre I La Charybde du faubourg Saint-Antoine et la Scylla du faubourg du Temple|Chapitre I La Charybde du faubourg Saint-Antoine et la Scylla du faubourg du Temple|7.63
lesmis/lesmis_0032.wav|poussant des caps çà et là,|poussant des caps çà et là,|2.06
lesmis/lesmis_0033.wav|puissamment adossée aux deux grands promontoires de maisons du faubourg, elle surgissait comme une levée cyclopéenne au fond de la redoutable place qui a vu le 14 juillet.|puissamment adossée aux deux grands promontoires de maisons du faubourg, elle surgissait comme une levée cyclopéenne au fond de la redoutable place qui a vu le quatorze juillet.|11.38
lesmis/lesmis_0034.wav|Dix-neuf barricades s'étageaient dans la profondeur des rues derrière cette barricade mère.|Dix-neuf barricades s'étageaient dans la profondeur des rues derrière cette barricade mère.|4.96
lesmis/lesmis_0035.wav|Rien qu'à la voir, on sentait dans le faubourg l'immense souffrance agonisante arrivée à cette minute extrême où une détresse veut devenir une catastrophe.|Rien qu'à la voir, on sentait dans le faubourg l'immense souffrance agonisante arrivée à cette minute extrême où une détresse veut devenir une catastrophe.|9.43
lesmis/lesmis_0036.wav|De quoi était faite cette barricade? De l'écroulement de trois maisons à six étages, démolies exprès, disaient les uns.|De quoi était faite cette barricade? De l'écroulement de trois maisons à six étages, démolies exprès, disaient les uns.|7.87
lesmis/lesmis_0037.wav|Du prodige de toutes les colères, disaient les autres. Elle avait l'aspect lamentable de toutes les constructions de la haine: la ruine.|Du prodige de toutes les colères, disaient les autres. Elle avait l'aspect lamentable de toutes les constructions de la haine: la ruine.|8.12
lesmis/lesmis_0038.wav|On pouvait dire: qui a bâti cela? On pouvait dire aussi: qui a détruit cela? C'était l'improvisation du bouillonnement.|On pouvait dire: qui a bâti cela? On pouvait dire aussi: qui a détruit cela? C'était l'improvisation du bouillonnement.|7.73
lesmis/lesmis_0039.wav|Tiens! cette porte! cette grille! cet auvent! ce chambranle! ce réchaud brisé! cette marmite fêlée! Donnez tout!|Tiens! cette porte! cette grille! cet auvent! ce chambranle! ce réchaud brisé! cette marmite fêlée! Donnez tout!|9.03
lesmis/lesmis_0040.wav|jetez tout! poussez, roulez, piochez, démantelez, bouleversez, écroulez tout! C'était la collaboration du pavé, du moellon,|jetez tout! poussez, roulez, piochez, démantelez, bouleversez, écroulez tout! C'était la collaboration du pavé, du moellon,|9.32
lesmis/lesmis_0041.wav|de la poutre, de la barre de fer, du chiffon, du carreau défoncé, de la chaise dépaillée, du trognon de chou,|de la poutre, de la barre de fer, du chiffon, du carreau défoncé, de la chaise dépaillée, du trognon de chou,|6.99
lesmis/lesmis_0042.wav|de la loque, de la guenille, et de la malédiction. C'était grand et c'était petit.|de la loque, de la guenille, et de la malédiction. C'était grand et c'était petit.|5.91
lesmis/lesmis_0043.wav|C'était l'abîme parodié sur place par le tohu-bohu. La masse près de l'atome; le pan de mur arraché et l'écuelle cassée;|C'était l'abîme parodié sur place par le tohu-bohu. La masse près de l'atome; le pan de mur arraché et l'écuelle cassée;|9.5
lesmis/lesmis_0044.wav|une fraternisation menaçante de tous les débris; Sisyphe avait jeté là son rocher et Job son tesson. En somme, terrible.|une fraternisation menaçante de tous les débris; Sisyphe avait jeté là son rocher et Job son tesson. En somme, terrible.|8.19
lesmis/lesmis_0045.wav|C'était l'acropole des va-nu-pieds. Des charrettes renversées accidentaient le talus; un immense haquet y était étalé en travers,|C'était l'acropole des va-nu-pieds. Des charrettes renversées accidentaient le talus; un immense haquet y était étalé en travers,|8.63
lesmis/lesmis_0046.wav|l'essieu vers le ciel, et semblait une balafre sur cette façade tumultueuse, un omnibus, hissé gaîment à force de bras tout au sommet de l'entassement,|l'essieu vers le ciel, et semblait une balafre sur cette façade tumultueuse, un omnibus, hissé gaîment à force de bras tout au sommet de l'entassement,|9.53
lesmis/lesmis_0047.wav|comme si les architectes de cette sauvagerie eussent voulu ajouter la gaminerie à l'épouvante, offrait son timon dételé à on ne sait quels chevaux de l'air.|comme si les architectes de cette sauvagerie eussent voulu ajouter la gaminerie à l'épouvante, offrait son timon dételé à on ne sait quels chevaux de l'air.|9.8
lesmis/lesmis_0048.wav|Cet amas gigantesque, alluvion de l'émeute, figurait à l'esprit un Ossa sur Pélion de toutes les révolutions; 93 sur 89,|Cet amas gigantesque, alluvion de l'émeute, figurait à l'esprit un Ossa sur Pélion de toutes les révolutions; quatre-vingt-treize sur quatre-vingt-neuf,|9.97
lesmis/lesmis_0049.wav|le 9 thermidor sur le 10 août, le 18 brumaire sur le 21 janvier, vendémiaire sur prairial,|le neuf thermidor sur le dix août, le dix-huit brumaire sur le vingt-et-un janvier, vendémiaire sur prairial,|8.51
lesmis/lesmis_0050.wav|1848 sur 1830.|quarante-huit sur trente.|3.41
lesmis/lesmis_0051.wav|La place en valait la peine, et cette barricade était digne d'apparaître à l'endroit même où la Bastille avait disparu. Si l'océan faisait des digues,|La place en valait la peine, et cette barricade était digne d'apparaître à l'endroit même où la Bastille avait disparu. Si l'océan faisait des digues,|8.7
lesmis/lesmis_0052.wav|c'est ainsi qu'il les bâtirait. La furie du flot était empreinte sur cet encombrement difforme. Quel flot? la foule. On croyait voir du vacarme pétrifié.|c'est ainsi qu'il les bâtirait. La furie du flot était empreinte sur cet encombrement difforme. Quel flot? la foule. On croyait voir du vacarme pétrifié.|8.56
lesmis/lesmis_0053.wav|On croyait entendre bourdonner, au-dessus de cette barricade,|On croyait entendre bourdonner, au-dessus de cette barricade,|6.29
lesmis/lesmis_0054.wav|comme si elles eussent été là sur leur ruche, les énormes abeilles ténébreuses du progrès violent. Était-ce une broussaille? était-ce une bacchanale?|comme si elles eussent été là sur leur ruche, les énormes abeilles ténébreuses du progrès violent. tait-ce une broussaille? était-ce une bacchanale?|9.86
lesmis/lesmis_0055.wav|était-ce une forteresse? Le vertige semblait avoir construit cela à coups d'aile.|était-ce une forteresse? Le vertige semblait avoir construit cela à coups d'aile.|5.87
lesmis/lesmis_0056.wav|Il y avait du cloaque dans cette redoute et quelque chose d'olympien dans ce fouillis. On y voyait, dans un pêle-mêle plein de désespoir, des chevrons de toits,|Il y avait du cloaque dans cette redoute et quelque chose d'olympien dans ce fouillis. On y voyait, dans un pêle-mêle plein de désespoir, des chevrons de toits,|9.45
lesmis/lesmis_0057.wav|des morceaux de mansardes avec leur papier peint, des châssis de fenêtres avec toutes leurs vitres plantés dans les décombres, attendant le canon, des cheminées descellées, des armoires, des tables, des bancs,|des morceaux de mansardes avec leur papier peint, des châssis de fenêtres avec toutes leurs vitres plantés dans les décombres, attendant le canon, des cheminées descellées, des armoires, des tables, des bancs,|12.34
lesmis/lesmis_0058.wav|un sens dessus dessous hurlant, et ces mille choses indigentes, rebuts même du mendiant, qui contiennent à la fois de la fureur et du néant.|un sens dessus dessous hurlant, et ces mille choses indigentes, rebuts même du mendiant, qui contiennent à la fois de la fureur et du néant.|9.21
lesmis/lesmis_0059.wav|On eût dit que c'était le haillon d'un peuple, haillon de bois, de fer, de bronze, de pierre, et que le faubourg Saint-Antoine l'avait poussé là à sa porte d'un colossal coup de balai,|On eût dit que c'était le haillon d'un peuple, haillon de bois, de fer, de bronze, de pierre, et que le faubourg Saint-Antoine l'avait poussé là à sa porte d'un colossal coup de balai,|9.82
lesmis/lesmis_0060.wav|faisant de sa misère sa barricade. Des blocs pareils à des billots, des chaînes disloquées, des charpentes à tasseaux ayant forme de potences,|faisant de sa misère sa barricade. Des blocs pareils à des billots, des chaînes disloquées, des charpentes à tasseaux ayant forme de potences,|9.25
lesmis/lesmis_0061.wav|des roues horizontales sortant des décombres, amalgamaient à cet édifice de l'anarchie la sombre figure des vieux supplices soufferts par le peuple.|des roues horizontales sortant des décombres, amalgamaient à cet édifice de l'anarchie la sombre figure des vieux supplices soufferts par le peuple.|9.76
lesmis/lesmis_0062.wav|La barricade Saint-Antoine faisait arme de tout; tout ce que la guerre civile peut jeter à la tête de la société sortait de là;|La barricade Saint-Antoine faisait arme de tout; tout ce que la guerre civile peut jeter à la tête de la société sortait de là;|7.41
lesmis/lesmis_0063.wav|ce n'était pas du combat, c'était du paroxysme;|ce n'était pas du combat, c'était du paroxysme;|3.06
lesmis/lesmis_0064.wav|les carabines qui défendaient cette redoute, parmi lesquelles il y avait quelques espingoles, envoyaient des miettes de faïence, des osselets, des boutons d'habit, jusqu'à des roulettes de tables de nuit, projectiles dangereux à cause du cuivre.|les carabines qui défendaient cette redoute, parmi lesquelles il y avait quelques espingoles, envoyaient des miettes de faïence, des osselets, des boutons d'habit, jusqu'à des roulettes de tables de nuit, projectiles dangereux à cause du cuivre.|13.37
lesmis/lesmis_0065.wav|Cette barricade était forcenée; elle jetait dans les nuées une clameur inexprimable; à de certains moments, provoquant l'armée, elle se couvrait de foule et de tempête,|Cette barricade était forcenée; elle jetait dans les nuées une clameur inexprimable; à de certains moments, provoquant l'armée, elle se couvrait de foule et de tempête,|9.48
lesmis/lesmis_0066.wav|une cohue de têtes flamboyantes la couronnait; un fourmillement l'emplissait;|une cohue de têtes flamboyantes la couronnait; un fourmillement l'emplissait;|5.01
lesmis/lesmis_0067.wav|elle avait une crête épineuse de fusils, de sabres, de bâtons, de haches, de piques et de bayonnettes; un vaste drapeau rouge y claquait dans le vent;|elle avait une crête épineuse de fusils, de sabres, de bâtons, de haches, de piques et de bayonnettes; un vaste drapeau rouge y claquait dans le vent;|9.19
lesmis/lesmis_0068.wav|on y entendait les cris du commandement, les chansons d'attaque, des roulements de tambours, des sanglots de femmes, et l'éclat de rire ténébreux des meurt-de-faim.|on y entendait les cris du commandement, les chansons d'attaque, des roulements de tambours, des sanglots de femmes, et l'éclat de rire ténébreux des meurt-de-faim.|9.27
lesmis/lesmis_0069.wav|Elle était démesurée et vivante; et, comme du dos d'une bête électrique, il en sortait un pétillement de foudres.|Elle était démesurée et vivante; et, comme du dos d'une bête électrique, il en sortait un pétillement de foudres.|7.46
lesmis/lesmis_0070.wav|L'esprit de révolution couvrait de son nuage ce sommet où grondait cette voix du peuple qui ressemble à la voix de Dieu;|L'esprit de révolution couvrait de son nuage ce sommet où grondait cette voix du peuple qui ressemble à la voix de Dieu;|7.28
lesmis/lesmis_0071.wav|une majesté étrange se dégageait de cette titanique hottée de gravats. C'était un tas d'ordures et c'était le Sinaï.|une majesté étrange se dégageait de cette titanique hottée de gravats. C'était un tas d'ordures et c'était le Sinaï.|8.62
lesmis/lesmis_0072.wav|Comme nous l'avons dit plus haut, elle attaquait au nom de la Révolution, quoi? la Révolution.|Comme nous l'avons dit plus haut, elle attaquait au nom de la Révolution, quoi? la Révolution.|7.16
lesmis/lesmis_0073.wav|Elle, cette barricade, le hasard, le désordre, l'effarement, le malentendu, l'inconnu, elle avait en face d'elle l'assemblée constituante,|Elle, cette barricade, le hasard, le désordre, l'effarement, le malentendu, l'inconnu, elle avait en face d'elle l'assemblée constituante,|7.79
lesmis/lesmis_0074.wav|la souveraineté du peuple, le suffrage universel, la nation, la République; et c'était la _Carmagnole_ défiant la _Marseillaise_.|la souveraineté du peuple, le suffrage universel, la nation, la République; et c'était la Carmagnole défiant la Marseillaise .|9.9
lesmis/lesmis_0075.wav|Défi insensé, mais héroïque, car ce vieux faubourg est un héros. Le faubourg et sa redoute se prêtaient main-forte.|Défi insensé, mais héroïque, car ce vieux faubourg est un héros. Le faubourg et sa redoute se prêtaient main-forte.|5.19
lesmis/lesmis_0076.wav|Le faubourg s'épaulait à la redoute, la redoute s'acculait au faubourg.|Le faubourg s'épaulait à la redoute, la redoute s'acculait au faubourg.|9.15
lesmis/lesmis_0077.wav|La vaste barricade s'étalait comme une falaise où venait se briser la stratégie des généraux d'Afrique. Ses cavernes, ses excroissances, ses verrues,|La vaste barricade s'étalait comme une falaise où venait se briser la stratégie des généraux d'Afrique. Ses cavernes, ses excroissances, ses verrues,|9.39
lesmis/lesmis_0078.wav|ses gibbosités, grimaçaient, pour ainsi dire, et ricanaient sous la fumée.|ses gibbosités, grimaçaient, pour ainsi dire, et ricanaient sous la fumée.|5.03
lesmis/lesmis_0079.wav|La mitraille s'y évanouissait dans l'informe; les obus s'y enfonçaient, s'y engloutissaient, s'y engouffraient; les boulets n'y réussissaient qu'à trouer des trous;|La mitraille s'y évanouissait dans l'informe; les obus s'y enfonçaient, s'y engloutissaient, s'y engouffraient; les boulets n'y réussissaient qu'à trouer des trous;|9.52
lesmis/lesmis_0080.wav|à quoi bon canonner le chaos?|à quoi bon canonner le chaos?|2.33
lesmis/lesmis_0081.wav|Et les régiments, accoutumés aux plus farouches visions de la guerre, regardaient d'un oeil inquiet cette espèce de redoute bête fauve,|Et les régiments, accoutumés aux plus farouches visions de la guerre, regardaient d'un oeil inquiet cette espèce de redoute bête fauve,|8.33
lesmis/lesmis_0082.wav|par le hérissement sanglier, et par l'énormité montagne.|par le hérissement sanglier, et par l'énormité montagne.|4.67
lesmis/lesmis_0083.wav|À un quart de lieue de là, de l'angle de la rue du Temple qui débouche sur le boulevard près du Château-d'Eau,|un quart de lieue de là, de l'angle de la rue du Temple qui débouche sur le boulevard près du Château-d'Eau,|6.16
lesmis/lesmis_0084.wav|si l'on avançait hardiment la tête en dehors de la pointe formée par la devanture du magasin Dallemagne, on apercevait au loin,|si l'on avançait hardiment la tête en dehors de la pointe formée par la devanture du magasin Dallemagne, on apercevait au loin,|7.67
lesmis/lesmis_0085.wav|au delà du canal, dans la rue qui monte les rampes de Belleville, au point culminant de la montée, une muraille étrange atteignant au deuxième étage des façades, sorte de trait d'union des maisons de droite aux maisons de gauche,|au delà du canal, dans la rue qui monte les rampes de Belleville, au point culminant de la montée, une muraille étrange atteignant au deuxième étage des façades, sorte de trait d'union des maisons de droite aux maisons de gauche,|13.56
lesmis/lesmis_0086.wav|comme si la rue avait replié d'elle-même son plus haut mur pour se fermer brusquement. Ce mur était bâti avec des pavés. Il était droit, correct,|comme si la rue avait replié d'elle-même son plus haut mur pour se fermer brusquement. Ce mur était bâti avec des pavés. Il était droit, correct,|9.06
lesmis/lesmis_0087.wav|froid, perpendiculaire, nivelé à l'équerre, tiré au cordeau, aligné au fil à plomb. Le ciment y manquait sans doute,|froid, perpendiculaire, nivelé à l'équerre, tiré au cordeau, aligné au fil à plomb. Le ciment y manquait sans doute,|8.91
lesmis/lesmis_0088.wav|mais comme à de certains murs romains, sans troubler sa rigide architecture. À sa hauteur on devinait sa profondeur.|mais comme à de certains murs romains, sans troubler sa rigide architecture. sa hauteur on devinait sa profondeur.|7.93
lesmis/lesmis_0089.wav|L'entablement était mathématiquement parallèle au soubassement.|L'entablement était mathématiquement parallèle au soubassement.|4.41
lesmis/lesmis_0090.wav|On distinguait d'espace en espace, sur sa surface grise, des meurtrières presque invisibles qui ressemblaient à des fils noirs.|On distinguait d'espace en espace, sur sa surface grise, des meurtrières presque invisibles qui ressemblaient à des fils noirs.|7.79
lesmis/lesmis_0091.wav|Ces meurtrières étaient séparées les unes des autres par des intervalles égaux. La rue était déserte à perte de vue. Toutes les fenêtres et toutes les portes fermées.|Ces meurtrières étaient séparées les unes des autres par des intervalles égaux. La rue était déserte à perte de vue. Toutes les fenêtres et toutes les portes fermées.|9.22
lesmis/lesmis_0092.wav|Au fond se dressait ce barrage qui faisait de la rue un cul-de-sac; mur immobile et tranquille; on n'y voyait personne,|Au fond se dressait ce barrage qui faisait de la rue un cul-de-sac; mur immobile et tranquille; on n'y voyait personne,|7.6
lesmis/lesmis_0093.wav|on n'y entendait rien; pas un cri, pas un bruit, pas un souffle. Un sépulcre.|on n'y entendait rien; pas un cri, pas un bruit, pas un souffle. Un sépulcre.|6.03
lesmis/lesmis_0094.wav|L'éblouissant soleil de juin inondait de lumière cette chose terrible. C'était la barricade du faubourg du Temple.|L'éblouissant soleil de juin inondait de lumière cette chose terrible. C'était la barricade du faubourg du Temple.|8.46
lesmis/lesmis_0095.wav|Dès qu'on arrivait sur le terrain et qu'on l'apercevait, il était impossible, même aux plus hardis, de ne pas devenir pensif devant cette apparition mystérieuse.|Dès qu'on arrivait sur le terrain et qu'on l'apercevait, il était impossible, même aux plus hardis, de ne pas devenir pensif devant cette apparition mystérieuse.|8.82
lesmis/lesmis_0096.wav|C'était ajusté, emboîté, imbriqué, rectiligne, symétrique, et funèbre. Il y avait là de la science et des ténèbres.|C'était ajusté, emboîté, imbriqué, rectiligne, symétrique, et funèbre. Il y avait là de la science et des ténèbres.|8.16
lesmis/lesmis_0097.wav|On sentait que le chef de cette barricade était un géomètre ou un spectre. On regardait cela et l'on parlait bas.|On sentait que le chef de cette barricade était un géomètre ou un spectre. On regardait cela et l'on parlait bas.|7.28
lesmis/lesmis_0098.wav|De temps en temps, si quelqu'un, soldat, officier ou représentant du peuple, se hasardait à traverser la chaussée solitaire,|De temps en temps, si quelqu'un, soldat, officier ou représentant du peuple, se hasardait à traverser la chaussée solitaire,|6.97
lesmis/lesmis_0099.wav|on entendait un sifflement aigu et faible, et le passant tombait blessé ou mort, ou,|on entendait un sifflement aigu et faible, et le passant tombait blessé ou mort, ou,|6.44
lesmis/lesmis_0100.wav|s'il échappait, on voyait s'enfoncer dans quelque volet fermé, dans un entre-deux de moellons, dans le plâtre d'un mur, une balle.|s'il échappait, on voyait s'enfoncer dans quelque volet fermé, dans un entre-deux de moellons, dans le plâtre d'un mur, une balle.|8.14
lesmis/lesmis_0101.wav|Quelquefois un biscaïen.|Quelquefois un biscaïen.|2.2
lesmis/lesmis_0102.wav|Car les hommes de la barricade s'étaient fait de deux tronçons de tuyaux de fonte du gaz bouchés à un bout avec de l'étoupe et de la terre à poêle, deux petits canons.|Car les hommes de la barricade s'étaient fait de deux tronçons de tuyaux de fonte du gaz bouchés à un bout avec de l'étoupe et de la terre à poêle, deux petits canons.|9.92
lesmis/lesmis_0103.wav|Pas de dépense de poudre inutile. Presque tout coup portait. Il y avait quelques cadavres çà et là, et des flaques de sang sur les pavés.|Pas de dépense de poudre inutile. Presque tout coup portait. Il y avait quelques cadavres çà et là, et des flaques de sang sur les pavés.|8.76
lesmis/lesmis_0104.wav|Je me souviens d'un papillon blanc qui allait et venait dans la rue. L'été n'abdique pas.|Je me souviens d'un papillon blanc qui allait et venait dans la rue. L'été n'abdique pas.|5.97
lesmis/lesmis_0105.wav|Aux environs, le dessous des portes cochères était encombré de blessés. On se sentait là visé par quelqu'un qu'on ne voyait point,|Aux environs, le dessous des portes cochères était encombré de blessés. On se sentait là visé par quelqu'un qu'on ne voyait point,|7.61
lesmis/lesmis_0106.wav|et l'on comprenait que toute la longueur de la rue était couchée en joue. Massés derrière l'espèce de dos d'âne|et l'on comprenait que toute la longueur de la rue était couchée en joue. Massés derrière l'espèce de dos d'âne|6.36
lesmis/lesmis_0107.wav|que fait à l'entrée du faubourg du Temple le pont cintré du canal, les soldats de la colonne d'attaque observaient, graves et recueillis,|que fait à l'entrée du faubourg du Temple le pont cintré du canal, les soldats de la colonne d'attaque observaient, graves et recueillis,|7.91
lesmis/lesmis_0108.wav|cette redoute lugubre, cette immobilité, cette impassibilité, d'où la mort sortait.|cette redoute lugubre, cette immobilité, cette impassibilité, d'où la mort sortait.|6.26
lesmis/lesmis_0109.wav|Quelques-uns rampaient à plat ventre jusqu'au haut de la courbe du pont en ayant soin que leurs shakos ne passassent point.|Quelques-uns rampaient à plat ventre jusqu'au haut de la courbe du pont en ayant soin que leurs shakos ne passassent point.|6.53
lesmis/lesmis_0110.wav|Le vaillant colonel Monteynard admirait cette barricade avec un frémissement.--_Comme c'est bâti!_ disait-il à un représentant. _Pas un pavé ne déborde de l'autre.|Le vaillant colonel Monteynard admirait cette barricade avec un frémissement.-- Comme c'est bâti! disait-il à un représentant. Pas un pavé ne déborde de l'autre.|9.24
lesmis/lesmis_0111.wav|C'est de la porcelaine._--En ce moment une balle lui brisa sa croix sur sa poitrine, et il tomba. --Les lâches! disait-on.|C'est de la porcelaine. --En ce moment une balle lui brisa sa croix sur sa poitrine, et il tomba. --Les lâches! disait-on.|9.4
